Название	Район	Адрес	Телефон	Сайт	Email	Instagram	Facebook	Рейтинг	Отзывы	Google Maps	Статус
Veterinary Care Group - Forest Hills	Queens	103-27 Queens Blvd, Forest Hills, NY 11375, USA	(718) 830-3260	https://www.veterinarycaregroup.com/locations/forest-hills?utm_source=gmb&utm_medium=organic&y_source=1_MjQ0NDU0OTYtNzE1LWxvY2F0aW9uLndlYnNpdGU=	gem.aci@aol.com	@veterinarycaregroup	facebook.com/veterinarycaregroup	4.4	376	https://maps.google.com/?cid=11287833913507148771	Новый
North Shore Animal Hospital	Queens	42-02 215th St, Bayside, NY 11361, USA	(718) 208-4303	https://veterinarianbaysideny.com/?utm_source=gmb&utm_medium=Yext&cp=7182084303&y_source=1_MTYxMTMwMTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D				4.4	613	https://maps.google.com/?cid=13658282252135779004	Новый
Skillman Animal Clinic	Queens	45-12 Skillman Ave, Sunnyside, NY 11104, USA	(718) 806-1561	http://www.skillmananimalclinic.com/	vet@skillmananimalclinic.com	@skillmananimalclinic	facebook.com/profile.php	3.8	150	https://maps.google.com/?cid=10348454939138538873	Новый
Hope Animal Hospital	Brooklyn	390 Atlantic Ave, Brooklyn, NY 11217, USA	(718) 852-4219	https://vcahospitals.com/hope?utm_source=maps&utm_medium=organic&utm_campaign=AU_983				3.8	162	https://maps.google.com/?cid=7579827608054860834	Новый
IAC Urgent Vets - Queens	Queens	32-33 Junction Blvd, East Elmhurst, NY 11369, USA	(718) 866-4580	http://www.urgent-vets.com/?utm_campaign=gmb	info@urgent-vets.com	@urgent_vets	facebook.com/104121572200487	4	410	https://maps.google.com/?cid=7470091870648059254	Новый
Petcare Animal Clinic	Queens	43-73 156th St, Flushing, NY 11355, USA	(718) 762-4747					4.2	528	https://maps.google.com/?cid=9156528482299291740	Новый
Bronx Veterinary Center	Bronx	2460 Webster Ave, Bronx, NY 10458, USA	(718) 933-1002	http://www.bronxvetcenter.com/		@bronxvetcenter	facebook.com/BronxVeterinaryCenter	4.3	2109	https://maps.google.com/?cid=10280994425373670213	Новый
Bond Vet - Astoria	Queens	35-07 30th Ave., Queens, NY 11103, USA	(212) 466-6376	https://bondvet.com/c/astoria-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=astoria		@bondvetclinic	facebook.com/bondvetclinic	4.4	478	https://maps.google.com/?cid=151862702697097925	Новый
A Animal Clinic of Queens	Queens	78-46 Metropolitan Ave, Flushing, NY 11379, USA	(718) 821-0100					3.8	75	https://maps.google.com/?cid=1549485297022293763	Новый
Heights Animal Hospital	Queens	71-02 35th Ave, Jackson Heights, NY 11372, USA	(718) 639-5210					4.5	351	https://maps.google.com/?cid=11243800654254023781	Новый
ASPCA Community Veterinary Clinic (Appointment Only)	Bronx	501 E 161st St, Bronx, NY 10451, USA	(844) 692-7722	https://www.aspca.org/bronx		@aspca	facebook.com/aspca	4.2	728	https://maps.google.com/?cid=10324247552660664850	Новый
Maspeth Animal Hospital	Queens	71-08 Grand Ave, Maspeth, NY 11378, USA	(718) 899-9200	http://www.maspethanimalhospital.net/	maspethhospital@gmail.com			4.6	513	https://maps.google.com/?cid=11059111017387912194	Новый
Middletown Animal Clinic	Bronx	2968 Middletown Rd, Bronx, NY 10461, USA	(718) 824-8300	https://middletownanimalclinic.com/	info@middletownanimalclinic.com	@middletownanimalclinic	facebook.com/Middletown	4.5	501	https://maps.google.com/?cid=12571440640583402551	Новый
Bronx Veterinary Center of Eastchester Road	Bronx	1640 Eastchester Rd, Bronx, NY 10461, USA	(718) 215-7387	http://www.bronxvetcenter.com/		@bronxvetcenter	facebook.com/BronxVeterinaryCenter	4.4	1160	https://maps.google.com/?cid=10264067402464259900	Новый
Court Square Animal Hospital	Queens	42-34 Crescent St, Long Island City, NY 11101, USA	(718) 577-4701	https://courtsquareanimalhospital.com/				4.5	351	https://maps.google.com/?cid=3559454067582543666	Новый
Liberty Animal Clinic	Queens	92-12 Liberty Ave, Ozone Park, NY 11417, USA	(718) 738-6666	http://gatewayvetshop.com/			facebook.com/GatewayVetShop	4.2	390	https://maps.google.com/?cid=11060502285335314371	Новый
Bronx County Animal Hospital	Bronx	988b Morris Park Ave, Bronx, NY 10462, USA	(718) 828-6404	http://www.bronxcountyanimalhospital.com/	bx.countyanimalhosp@live.com		facebook.com/2008	4.5	286	https://maps.google.com/?cid=4568366390520667925	Новый
Tri-Boro Animal Hospital	Bronx	3004 Lurting Ave, Bronx, NY 10469, USA	(718) 292-1770	http://www.animalhospitalbx.com/about-us/	frontdesk.triboro@gmail.com			4.2	343	https://maps.google.com/?cid=10137678769124548360	Новый
Broadway Animal Hospital of Riverdale	Bronx	5664 Broadway, Bronx, NY 10463, USA	(718) 543-5600	http://www.broadwayanimalhospitalofriverdale.com/	hello@bahriverdale.com	@broadwayah_riverdale	facebook.com/BroadwayAnimalHospitalofRiverdale	4.4	344	https://maps.google.com/?cid=9378924669601561406	Новый
The Pet Doctor of Flushing	Queens	25-62 Francis Lewis Blvd, Flushing, NY 11358, USA	(347) 851-1950	https://petdoctorny.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb	petdoctor01@gmail.com	@thepetdoctorny	facebook.com/thepetdoctoroflushing	4.5	579	https://maps.google.com/?cid=15408115604800891609	Новый
Riverdale Veterinary Group PC	Bronx	Riverdale Veterinary Group, 3607 Riverdale Ave, Bronx, NY 10463, USA	(718) 796-8387	http://riverdalevetgroup.com/			facebook.com/pages	4.4	867	https://maps.google.com/?cid=13040843265072949022	Новый
Fordham Veterinary Clinic	Bronx	2322 Grand Concourse, Bronx, NY 10453, USA	(212) 920-9680	http://fordhamvet.com/				3.8	49	https://maps.google.com/?cid=9655275551203598867	Новый
Armory Dog & Cat Hospital	Bronx	18 E Kingsbridge Rd, Bronx, NY 10468, USA	(718) 367-4350	https://guardianvet-armory.com/			facebook.com/profile.php	3.2	241	https://maps.google.com/?cid=14857065243053405743	Новый
Value Veterinary Clinic	Bronx	2074 Cross Bronx Expy, Bronx, NY 10472, USA	(718) 822-7387	http://valuevethospital.com/	valuevetclinic2@gmail.com	@valuevetclinic	facebook.com/Value	4.4	719	https://maps.google.com/?cid=13647187529799426507	Новый
Queens Midway Animal Hospital	Queens	77-46 164th St, Flushing, NY 11366, USA	(718) 591-9223	http://queensmidwayah.com/	queensmidwayanimalhospital@hotmail.com			4.6	334	https://maps.google.com/?cid=15539015573650807079	Новый
Animal Hospital of Morris Park	Bronx	1135 Morris Park Ave, Bronx, NY 10461, USA	(718) 822-3309	http://www.bronxanimalhospital.com/			facebook.com/Animal	4	1426	https://maps.google.com/?cid=7509151281925398593	Новый
Bronx Animal Hospital / Bronx Vet Center	Bronx	3004 Lurting Ave, Bronx, NY 10469, USA	(718) 292-1770	http://www.animalhospitalbx.com/	frontdesk.triboro@gmail.com			4.5	54	https://maps.google.com/?cid=645384520956582034	Новый
Staten Island Veterinary Group	Staten Island	3875 Victory Blvd, Staten Island, NY 10314, USA	(718) 370-0390	https://www.statenislandvetgroup.com/	sivetgroup@gmail.com	@sivetgroup	facebook.com/StatenIslandVetGroup	4.7	324	https://maps.google.com/?cid=6550245280656072281	Новый
Cross Bronx Pet Shop	Bronx	2064 Cross Bronx Service Rd N, Bronx, NY 10472, USA	(718) 597-5652	https://www.facebook.com/Cross-Bronx-Pet-Shop-293020390812774/			facebook.com/people	4.4	783	https://maps.google.com/?cid=397421333550385161	Новый
ANIMAL CLINIC	Bronx	2064 Cross Bronx Expy, Bronx, NY 10472, USA						4.4	9	https://maps.google.com/?cid=11505250006119638101	Новый
Northside Animal Hospital	Staten Island	773 Post Ave, Staten Island, NY 10310, USA	(718) 981-4445	https://nahnyc.com/	northsideanimal773@gmail.com	@northsideanimalhospital_	facebook.com/NAHNYC01	4.8	271	https://maps.google.com/?cid=16861084762200161747	Новый
New Rochelle Animal Hospital	Bronx	98 North Ave, New Rochelle, NY 10801, USA	(914) 636-8106	http://www.newrochellevet.com/				4.4	382	https://maps.google.com/?cid=14171475726376566668	Новый
Staten Island Animal Hospital	Staten Island	640 Willowbrook Rd, Staten Island, NY 10314, USA	(718) 698-1400	https://vcahospitals.com/staten-island?utm_source=maps&utm_medium=organic&utm_campaign=AU_384				4.3	191	https://maps.google.com/?cid=18167339706470615811	Новый
Animal Specialty Center	Bronx	9 Odell Plaza, Yonkers, NY 10701, USA	(914) 457-4000	https://www.animalspecialtycenter.com/?y_source=1_MTE2Njg5NDctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	Dollyos@aol.com	@animalspecialtycenter	facebook.com/AnimalSpecialtyCenter	4.2	1420	https://maps.google.com/?cid=2022944454222684629	Новый
Four Corners Veterinary Practice	Staten Island	1564 Richmond Rd, Staten Island, NY 10304, USA	(718) 979-9400					4.8	182	https://maps.google.com/?cid=15595162679564908796	Новый
Animal Health Group on the Boulevard	Staten Island	2300 Hylan Blvd, Staten Island, NY 10306, USA	(718) 980-6491	https://animalhealthgroup.com/?utm_source=GMB%20-%20animalhealthgroup.com&utm_medium=GMB&utm_campaign=GMB		@animalhealthgroup_ahg	facebook.com/AnimalHealthGroup	4.5	259	https://maps.google.com/?cid=15610635558665224801	Новый
Banfield Pet Hospital	Bronx	830 Pelham Pkwy, Pelham, NY 10803, USA	(914) 636-2915	https://www.banfield.com/locations/veterinarians/ny/pelham/phm?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local	email@emailserver.com	@banfieldpethospital	facebook.com/BanfieldPetHospital	3.7	281	https://maps.google.com/?cid=14847817951779813038	Новый
Eltingville Veterinary Practice	Staten Island	4353 Hylan Blvd, Staten Island, NY 10312, USA	(718) 208-4118	http://www.eltingvillevet.org/	info@eltingvillevet.com	@eltingvillevet	facebook.com/EltingvilleVet	4.8	118	https://maps.google.com/?cid=15721417322476709475	Новый
Hylan Animal Hospital	Staten Island	1200 Hylan Blvd, Staten Island, NY 10305, USA	(347) 934-3377	http://www.hylananimalhospital.com/		@hylananimalhospital	facebook.com/hylanvet	4.3	163	https://maps.google.com/?cid=13521752727755040032	Новый
Bay Street Animal Hospital	Staten Island	999 Bay St, Staten Island, NY 10305, USA	(718) 420-9100	http://baystanimalhospital.com/	mailbox@baystanimalhospital.com			3.8	308	https://maps.google.com/?cid=12847025031092771850	Новый
Westchester Animal Hospital	Bronx	384 Gramatan Ave, Mt Vernon, NY 10552, USA	(914) 668-0031	http://westchester-hospital.edan.io/			facebook.com/pages	4.6	498	https://maps.google.com/?cid=18191925640123511824	Новый
Richmond Valley Veterinary Practice	Staten Island	4915 Arthur Kill Rd, Staten Island, NY 10309, USA	(718) 948-3331	http://www.richmondvalleyvet.com/?utm_source=gmb&utm_medium=organic		@richmondvalleyvetpractice	facebook.com/RVVet	4.8	908	https://maps.google.com/?cid=6872469027567628935	Новый
Dongan Hills Veterinary Practice	Staten Island	289 Dongan Hills Ave, Staten Island, NY 10305, USA	(718) 987-7777	https://donganhillsvet.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=website				4.5	122	https://maps.google.com/?cid=6709878480783068116	Новый
All Saints Animal Hospital	Staten Island	645 Rossville Ave, Staten Island, NY 10309, USA	(332) 204-1788	https://allsaintsanimals.com/	info@allsaintsanimals.com	@allsaintsanimalhospital	facebook.com/All	4.4	86	https://maps.google.com/?cid=8690993303976124686	Новый
Banfield Pet Hospital	Staten Island	1525 Forest Avenue, Staten Island, NY 10302, USA	(718) 273-4091	https://www.banfield.com/locations/veterinarians/ny/staten-island/stn?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local	email@emailserver.com	@banfieldpethospital	facebook.com/BanfieldPetHospital	4.3	256	https://maps.google.com/?cid=17981693651178362093	Новый
Pleasant Plains Animal Hospital South	Staten Island	5525 Amboy Rd 3900 #3900, Staten Island, NY 10312, USA	(718) 227-8387	https://www.sivet.com/locations/ppah-south	info@sivet.com	@ppah_south	facebook.com/PPAH2011	4.5	663	https://maps.google.com/?cid=16526526921264529179	Новый
CompleteCare Veterinary Center	Staten Island	1293 Clove Rd, Staten Island, NY 10301, USA	(718) 720-4211	https://veterinarianstatenislandny.com/?utm_source=gmb&utm_medium=Yext&cp=7189253498&y_source=1_MTYxMTMwMTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D				4.5	339	https://maps.google.com/?cid=10224724806848028490	Новый
Banfield Pet Hospital	Staten Island	2656 Hylan Blvd Ste 240, Staten Island, NY 10306, USA	(315) 508-6377	https://www.banfield.com/locations/veterinarians/ny/staten-island/sih?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local	email@emailserver.com	@banfieldpethospital	facebook.com/BanfieldPetHospital	4.3	110	https://maps.google.com/?cid=913295242853776014	Новый
St Francis Animal Hospital	Staten Island	4364 Amboy Rd, Staten Island, NY 10312, USA	(718) 967-2495	https://www.stfrancisofstatenisland.com/	info@stfrancisofstatenisland.com		facebook.com/pages	4.2	157	https://maps.google.com/?cid=6202097891176029468	Новый
Forest Animal Hospital	Staten Island	1050 Forest Avenue, Staten Island, NY 10310, USA	(718) 442-4377					4.6	711	https://maps.google.com/?cid=17146592866202530222	Новый
Community Veterinary Medicine	Harlem	3619 Broadway, New York, NY 10031, USA	(646) 912-9513	https://communityveterinarymedicine.com/			facebook.com/tr	3.9	263	https://maps.google.com/?cid=3213923993908827718	Новый
Greater Staten Island Veterinary Services	Staten Island	3135 Victory Blvd, Staten Island, NY 10314, USA	(917) 830-1380	https://gsvs.org/staten-island-ny/emergency-vet/?utm_source=google-business-profile&utm_medium=organic		@gsvs_statenisland	facebook.com/gardenstateveterinaryspecialists	3.7	327	https://maps.google.com/?cid=17817321849602329148	Новый
Island Bird Cat & Dog Veterinary Group	Staten Island	375 Manor Rd, Staten Island, NY 10314, USA	(718) 370-9472	http://www.islandbirdcatdogvetgroup.com/				4.7	280	https://maps.google.com/?cid=6979855319680453801	Новый
Pleasant Plains Animal Hospital North	Staten Island	1317 Forest Avenue, Staten Island, NY 10302, USA	(718) 878-3610	https://www.sivet.com/locations/ppah-north	info@sivet.com	@ppah_south	facebook.com/PPAH2011	4	111	https://maps.google.com/?cid=13119649307782769382	Новый
Small Door Veterinary - Upper West Side	Harlem	667 Columbus Ave, New York, NY 10025, USA	(212) 933-9044	https://www.smalldoorvet.com/	hi@smalldoorvet.com	@smalldoorvet	facebook.com/smalldoorvet	4.6	207	https://maps.google.com/?cid=11632560101235178294	Новый
Oliver's Dog & Cat Clinic	Harlem	2232 1st Ave, New York, NY 10029, USA	(212) 348-7070	http://www.oliversdogandcatclinic.com/		@olivers_dogandcat_clinic	facebook.com/oliversdogandcatclinic	4.5	687	https://maps.google.com/?cid=15428686034861852267	Новый
Bond Vet - Upper West Side at 91st Street	Harlem	2461 Broadway, Manhattan, NY 10025, USA	(212) 597-2866	https://bondvet.com/c/upper-west-side-91st-street-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=upper-west-side-at-91st-street		@bondvetclinic	facebook.com/bondvetclinic	4.5	90	https://maps.google.com/?cid=11803610514984970054	Новый
Animal House Veterinary Hospital	Staten Island	2555 Richmond Ave STE 1L, Staten Island, NY 10314, USA	(917) 245-2484	https://animalhousesiny.com/				4.7	55	https://maps.google.com/?cid=12720994725221293121	Новый
Harlem Valley Animal Clinic	Harlem	3017 NY-22, Dover Plains, NY 12522, USA	(845) 877-6852	https://harlemvalleyanimalclinic.com/	hvac3017@gmail.com			4.5	88	https://maps.google.com/?cid=12012775897074536331	Новый
Vetco Total Care Animal Hospital	Staten Island	165 Bricktown Way Ste 1C, Staten Island, NY 10309, USA	(718) 569-3036	https://stores.petco.com/ny/statenisland/vet-hospital-statenisland-ny-3794.html		@petco	facebook.com/PETCO	4.6	329	https://maps.google.com/?cid=5420303873041579596	Новый
Manhattan Veterinary Group	Harlem	240 E 80th St, New York, NY 10075, USA	(212) 988-1000	https://vcahospitals.com/manhattan-veterinary-group?utm_source=maps&utm_medium=organic&utm_campaign=AU_353		@vca	facebook.com/ManhattanVeterinaryGroup	4.4	212	https://maps.google.com/?cid=16291426809677650467	Новый
Aadobe Animal Hospital	Staten Island	1294 Forest Avenue, Staten Island, NY 10302, USA	(718) 370-0700	https://aadobestatenisland.com/			facebook.com/aadobeanimalsi	4.6	256	https://maps.google.com/?cid=17031320583362278834	Новый
Upper East Veterinary Center	Upper East Side	207 E 94th St, New York, NY 10128, USA	(212) 369-8387	https://uppereastvet.com/		@uppereastvetcenter	facebook.com/pages	4.7	15	https://maps.google.com/?cid=8782507354824243483	Новый
Gotham Veterinary Center	Harlem	700 Columbus Ave, New York, NY 10025, USA	(212) 222-1900	https://gothamvetcenter.com/		@gothamvetcenter	facebook.com/gothamvetcenter	4.5	254	https://maps.google.com/?cid=6037695242434957417	Новый
Lenox Hill Veterinarians	Upper East Side	1504 2nd Ave, New York, NY 10075, USA	(212) 288-8387	http://www.lenoxhillveterinarians.com/				4.3	81	https://maps.google.com/?cid=16280498994835026040	Новый
Bond Vet - Upper East Side at 86th Street	Upper East Side	1535 3rd Ave, Manhattan, NY 10028, USA	(212) 624-2773	https://bondvet.com/c/east-86th-street-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=upper-east-side-at-86th-street		@bondvetclinic	facebook.com/bondvetclinic	4.3	204	https://maps.google.com/?cid=16326616491973276702	Новый
Sutton Animal Hospital	Upper East Side	1147 1st Ave, New York, NY 10065, USA	(212) 935-0823	http://www.suttonvet.com/	info@suttonvet.com	@suttonanimalhospital	facebook.com/suttonanimalhospitalny	4.5	64	https://maps.google.com/?cid=13327720343763464217	Новый
URvet Care Midtown Medical Center	Upper East Side	252 E 57th St, New York, NY 10022, USA	(646) 221-1200	https://www.urvetcare.com/		@urvetcare	facebook.com/urvetcare	4.1	80	https://maps.google.com/?cid=9547997918982291905	Новый
Animal Care Centers of NYC - Manhattan	Harlem	326 E 110th St, New York, NY 10029, USA	(212) 788-4000	https://www.nycacc.org/	media@nycacc.org	@nycacc	facebook.com/NYCACC	4.1	1794	https://maps.google.com/?cid=7759259791576403280	Новый
Harlem Vet Center	Harlem	55 W 125th St 9th Floor, New York, NY 10027, USA	(646) 273-8139					5	6	https://maps.google.com/?cid=4781040462771629322	Новый
Bond Vet - Upper West Side at 112th Street	Upper West Side	2875 Broadway, Manhattan, NY 10025, USA	(212) 439-5157	https://bondvet.com/c/west-112th-street-animal-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=upper-west-side-at-112th-street		@bondvetclinic	facebook.com/bondvetclinic	4.2	69	https://maps.google.com/?cid=18201813708783423270	Новый
One Love Animal Hospital - Yorkville	Upper East Side	227 E 84th St, New York, NY 10028, USA	(212) 249-8802	http://www.onelovevet.com/	info@onelovevet.com	@onelovehospital	facebook.com/onelovevet	4.1	104	https://maps.google.com/?cid=9027637258491853189	Новый
Heart of Chelsea Veterinary Group - Hell's Kitchen	Harlem	453 W 46th St, New York, NY 10036, USA	(212) 433-3420	https://heartofchelsea.com/hells-kitchen/		@heartofchelseavet	facebook.com/heartofchelseavet	4.6	74	https://maps.google.com/?cid=9113103779975363519	Новый
Hospital For Veterinary Surgery	Upper West Side	150 Amsterdam Ave, New York, NY 10023, USA	(646) 974-1506	http://www.hvsny.com/	info@hvsny.com	@hvsnyc	facebook.com/hvsny	4.9	136	https://maps.google.com/?cid=4709069940271587910	Новый
Animal General	Upper West Side	558 Columbus Ave, New York, NY 10024, USA	(212) 501-9600	https://thrivepetcare.com/locations/new-york/new-york/animal-general-ny/?utm_source=gmb&utm_medium=web				4.7	233	https://maps.google.com/?cid=10311916112040285787	Новый
Uptown Paws Veterinary Clinic	Upper East Side	1623 1st Ave, New York, NY 10028, USA	(212) 628-5580	https://uptownpawsvet.com/		@uptownpawsvet	facebook.com/uptownpawsveterinaryclinic	5	22	https://maps.google.com/?cid=2388778085785082125	Новый
Columbus Circle Veterinary Hospital	Upper West Side	2 Columbus Ave # 3, New York, NY 10023, USA	(212) 245-3302					4.2	54	https://maps.google.com/?cid=16354725101779464283	Новый
Brilliant Veterinary Care	Upper West Side	641 Amsterdam Ave, New York, NY 10025, USA	(212) 365-5160	https://brilliantvets.com/	hello@brilliantvets.com	@brilliantvets	facebook.com/brilliantvets	4.9	321	https://maps.google.com/?cid=17508401503583105569	Новый
Animal Health Center	Upper West Side	194 Riverside Blvd, New York, NY 10069, USA	(212) 724-2697	https://animalhealthcenterny.com/				4.5	15	https://maps.google.com/?cid=6686769466342779807	Новый
